Hugo_Symbol	Entrez_Gene_Id	TCGA-BR-6564-11A-01R-1884-13	TCGA-HU-A4GH-11A-11R-A36D-31	TCGA-IN-8663-11A-01R-2402-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-HU-A4GY-11A-11R-A36D-31	TCGA-IN-AB1X-11A-21R-A39E-31	TCGA-CG-5720-11A-01R-1602-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-CG-5734-11A-01R-1602-13	TCGA-IN-AB1V-11A-11R-A414-31	TCGA-FP-7829-11A-01R-2055-13	TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-IP-7968-11A-01R-2203-13	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-CG-5730-11A-01R-1602-13	TCGA-IN-7806-11A-01R-2055-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-BR-7851-11A-01R-2203-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-BR-7717-11A-01R-2055-13
GORASP2	26003	1583.71	1359.57	1617	1340.84	2271.4	1295.13	1331.57	1721.16	2047	2163.77	1572.76	2133.97	2591.27	1397.83	1457.23	1733.13	1628.26	2104.58	2502.97	1950	1119.56	1388.16	1651	1819.35	1857.6	1617	1832.01	2875.3	1216.75	1457.23	1540.37	1651	1662.49
GMNC	647309	0	1.75	0	0	0.36	2.84	2.39	0.44	0	0	1.16	0	0	0.45	0	3.63	1.2	0.44	0	1.95	2.94	1.35	0	0	0	0.44	0	0	0.88	1.33	0	0	0.42
POTEB	317754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLOC1S1	2647	5329.3	3443.31	5292.48	6983.79	5292.48	5255.91	3768.09	2997.45	6792.79	3982.99	3303	4328.55	4836.35	3820.7	8247.98	2417.67	3639.7	7180.15	5041.77	3395.89	4358.66	3325.99	8363.13	4095	5366.37	5954.47	7230.1	6121.9	18560.17	3081.75	4543.8	8778.97	6607.01
TAF1	6872	273.37	420.68	176.29	110.43	258.57	291.04	450.94	303.44	214.27	226.54	400.71	318.57	253.23	384.34	98.73	432.53	371.22	193.01	231.32	198.47	281.09	429.54	124.37	224.97	242.88	191.67	241.19	132.44	109.66	476.71	289.02	206.94	215.77
HIST1H3D	8350	64.8	7.34	161.02	40.07	48.87	16.27	15.45	98.04	23.08	29.06	13.03	18.29	13.52	6.11	18.43	65.72	17.9	22.1	15.22	58.3	5.82	12.27	182.55	132.44	36.53	47.17	53.57	119.26	75.11	3.59	73.54	45.85	29.91
WTIP	126374	320.8	480.04	37.05	26.28	141.02	307.69	251.48	92.05	105.15	55.49	507.46	171.45	90.77	281.09	127	140.04	438.59	57.89	120.94	74.06	256.78	249.73	120.1	156.59	215.77	279.14	193.01	94.01	70.51	204.07	94.67	144.01	153.34
ZNF20	7568	48.87	57.08	85.82	87.03	53.57	26.86	46.84	55.89	73.03	61.25	38.4	33.78	98.04	17.9	77.25	44.25	36.79	91.41	61.68	40.07	61.25	21.47	65.72	68.55	65.72	114.36	66.18	65.26	143.01	50.98	58.3	120.94	78.34
TUSC3	7991	287.01	708.18	414.87	71	343.89	595.34	718.08	366.09	148.09	379.04	490.14	353.59	202.66	638.15	125.24	387.02	551.56	202.66	197.09	536.45	703.28	780.44	165.57	327.56	231.32	231.32	202.66	193.01	466.88	660.68	115.16	161.02	356.05
EFCAB13	124989	19.11	55.49	13.62	48.87	35.5	70.51	144.01	57.89	15.45	23.25	70.01	29.91	55.1	63.45	36.79	93.35	73.03	92.7	44.89	25.54	123.5	59.55	20.71	18.7	31.45	70.51	21.32	55.1	17.77	49.21	60.82	14.78	62.12
S100A12	6283	105.15	136.19	2468.49	12.45	172.65	38.12	0	1583.71	44.89	1832.01	177.53	100.13	29.48	65.72	314.17	1199.98	265.87	373.81	64.34	1844.76	90.77	65.72	85.22	1167.14	94.01	406.31	97.36	234.57	218.79	27.44	40.64	28.45	981.29
FZD3	7976	82.29	199.85	37.32	60.82	79.45	171.45	157.68	55.1	57.89	45.53	141.02	125.24	106.63	231.32	40.36	104.42	226.54	61.68	85.22	70.01	75.11	241.19	69.03	46.5	81.14	56.68	75.11	54.72	65.26	260.38	37.85	59.13	121.79
PRSS1	5644	2875.3	10	0	1037.29	1685.71	0	6.16	4.13	651.58	3.86	1313.23	84.04	4181.07	2.97	1167.14	0	0	1259.69	1757.34	29.06	0	0	1369.04	4.03	157.68	5791.62	8778.97	2209.26	3325.99	0	121.79	5913.33	890.44
UNC5B	219699	125.24	84.04	325.29	114.36	156.59	116.78	86.43	297.17	224.97	480.04	145.02	612.11	241.19	82.29	114.36	500.46	104.42	111.21	169.07	521.76	83.45	111.99	100.83	540.19	476.71	88.88	217.27	158.79	33.3	88.26	45.21	209.84	68.07
MED25	81857	1242.34	1175.27	1167.14	988.12	1628.26	1225.22	1175.27	1417.35	1447.15	1350.18	1594.73	1477.58	1369.04	1001.93	1159.07	1378.57	1304.15	1216.75	1001.93	1388.16	1096.5	1127.35	988.12	1733.13	1628.26	1331.57	1651	1447.15	392.44	1159.07	1159.07	1388.16	1191.69
CMTM4	146223	651.58	242.88	295.11	785.88	500.46	152.28	145.02	511	1605.83	363.56	376.41	2271.4	2032.85	158.79	514.56	540.19	226.54	1073.91	1529.73	389.72	180.02	186.4	1073.91	314.17	1051.79	567.1	1605.83	872.1	457.25	208.38	1487.87	1628.26	361.04
PPCS	79717	1427.22	1135.2	1844.76	1870.53	1709.26	1350.18	1216.75	1259.69	1697.45	1498.22	1183.45	1388.16	1991	1199.98	1583.71	1088.92	1199.98	1883.54	1519.15	1119.56	1639.59	1191.69	1639.59	1268.46	1295.13	2240.11	1857.6	2193.99	4181.07	1242.34	1781.89	1819.35	2400.97
MYO5C	55930	193.01	95.34	204.07	141.02	708.18	38.12	105.15	258.57	361.04	303.44	201.25	764.36	603.67	31.9	163.28	371.22	75.11	293.07	215.77	503.95	101.54	53.57	97.36	132.44	476.71	190.34	323.03	420.68	217.27	37.59	285.03	314.17	186.4
