type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
NA,NA,2016-09-26,NA,[Digging Science Out of a Hole: The Reproducibility Index](https://ulriklyngs.com/post/2016/09/26/digging-science-out-of-a-hole-the-reproducibility-index/),NA,Blog post,NA,ulriklyngs.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2022-03-26,NA,Self-Control in Cyberspace: The Attentional Challenges of Computing Technology,NA,Goodenough College & University of Oxford,NA,"Colloquium on AI and Regulation, Venice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-11-08,NA,"[Reproducible academic papers with R Markdown, RStudio, Zotero, Google Docs, and LaTeX templates](https://youtu.be/aU0uetWJXis)",NA,University of Oxford,[Reproducible Research Oxford](https://ox.ukrn.org),Community call: executable manuscripts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-10-05,NA,"""Where has my cognitive prime time gone?"" Understanding digital self-control struggles and appropriate interventions",NA,University of Oxford,Dept. of Computer Science,[Human Centred Computing](https://hcc.cs.ox.ac.uk),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-09-23,NA,"""Where has my cognitive prime time gone?"" Understanding digital self-control struggles and appropriate interventions",NA,University of Copenhagen,Copenhagen Center for Social Data Science,International Seminar organised by the [DISTRACT](https://sodas.ku.dk/projects/distract/) project: *Studying the Digital Backlash*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-08-19,NA,Selvkontrol i cyberspace,Self-control in cyberspace,KulturRummet Thy,"Thisted Library, Denmark","[Thy 360](https://thy360.dk/event/selvkontrol-i-cyberspace/8500), local event",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-03-26,NA,The Reducing Digital Distraction workshop as research tool: methods and preliminary results,NA,University of Copenhagen,Copenhagen Center for Social Data Science,[DISTRACT](https://sodas.ku.dk/projects/distract/) project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-03-19,NA,Slip nu den telefon! Fire gode råd til at undgå tidsrøvende distraktioner på nettet,Let go of that phone! Four pieces of good advice for avoiding time-wasting distractions on the web,videnskab.dk,NA,[Brainstorm podcast (Danish)](https://videnskab.dk/kultur-samfund/slip-nu-den-telefon-fire-gode-raad-til-at-undgaa-tidsroevende-distraktioner-paa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-03-04,NA,Coping with Isolation and Loneliness - a Conversation,NA,University of Oxford,Linacre College,Roundtable discussion on mental health during the COVID pandemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-02-09,NA,Reproducible and Replicable Research,NA,University of Copenhagen,Dept. of Computer Science,[Human-Centred Computing Section](https://di.ku.dk/english/research/human-centred-computing/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-02-02,NA,R Markdown in 7 Minutes,NA,University of Oxford,Dept. of Computer Science,[Human Centred Computing](https://hcc.cs.ox.ac.uk),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-01-12,NA,Reproducible and Replicable Research,NA,University of Oxford,Dept. of Computer Science,[Human Centred Computing](https://hcc.cs.ox.ac.uk),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-12-09,NA,Ulysses in Cyberspace: The Theory and Practice of Digital Self-Control,NA,University of Oxford,Dept. of Computer Science,Guest lecture in [Interaction Design (IDE)](https://hip.cat/emax/teaching),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-10-30,NA,Self-Control in Cyberspace: Examining Tools of Resistance in the Battle for Online Attention,NA,University of Copenhagen,Copenhagen Center for Social Data Science,[DISTRACT](https://sodas.ku.dk/projects/distract/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-09-01,NA,Cognitive Control in Cyberspace,NA,University of Copenhagen,Institute of Psychology,[COINACT](https://psychology.ku.dk/coinact/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2020-06-30,NA,‘I Just Want to Hack Myself to Not Get Distracted’: Do Design Interventions for Self-Control on Facebook Work?,NA,University of Oxford,NA,[Seminars at Linacre College](https://www.linacre.ox.ac.uk/event-type/linacre-seminar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-06-21,NA,What Can Digital Humanities Offer Hindu Studies?,NA,University of Oxford,Oxford Centre for Hindu Studies,NA,[online lecture series (6 videos)](https://www.youtube.com/playlist?list=PLkIUogDmN_nAEqQphmDffOMBP5ljN-jXA) for a general audience,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,y,NA,NA
